LEFT_TABLE,LEFT_COLUMN,RIGHT_TABLE,RIGHT_COLUMN,KEY
2020-04-27 Coronavirus Tweets.CSV,place_type,glassdoor.csv,gaTrackerDatalocationType,2020-04-27 Coronavirus Tweets.CSV#place_type#glassdoor.csv#gaTrackerDatalocationType
2020-04-27 Coronavirus Tweets.CSV,country_code,glassdoor.csv,mapcountry,2020-04-27 Coronavirus Tweets.CSV#country_code#glassdoor.csv#mapcountry
2020-04-27 Coronavirus Tweets.CSV,lang,glassdoor.csv,mapcountry,2020-04-27 Coronavirus Tweets.CSV#lang#glassdoor.csv#mapcountry
2020-04-29 Coronavirus Tweets.CSV,place_type,glassdoor.csv,gaTrackerDatalocationType,2020-04-29 Coronavirus Tweets.CSV#place_type#glassdoor.csv#gaTrackerDatalocationType
2020-04-29 Coronavirus Tweets.CSV,country_code,glassdoor.csv,mapcountry,2020-04-29 Coronavirus Tweets.CSV#country_code#glassdoor.csv#mapcountry
2020-04-29 Coronavirus Tweets.CSV,lang,glassdoor.csv,mapcountry,2020-04-29 Coronavirus Tweets.CSV#lang#glassdoor.csv#mapcountry
artists.csv,country_mb,glassdoor.csv,mapcountry,artists.csv#country_mb#glassdoor.csv#mapcountry
2020-04-26 Coronavirus Tweets.CSV,place_type,glassdoor.csv,gaTrackerDatalocationType,2020-04-26 Coronavirus Tweets.CSV#place_type#glassdoor.csv#gaTrackerDatalocationType
2020-04-26 Coronavirus Tweets.CSV,country_code,glassdoor.csv,mapcountry,2020-04-26 Coronavirus Tweets.CSV#country_code#glassdoor.csv#mapcountry
2020-04-26 Coronavirus Tweets.CSV,lang,glassdoor.csv,mapcountry,2020-04-26 Coronavirus Tweets.CSV#lang#glassdoor.csv#mapcountry
glassdoor.csv,headerlocationType,us_perm_visas.csv,foreign_worker_ownership_interest,glassdoor.csv#headerlocationType#us_perm_visas.csv#foreign_worker_ownership_interest
glassdoor.csv,headerlocationType,us_perm_visas.csv,fw_ownership_interest,glassdoor.csv#headerlocationType#us_perm_visas.csv#fw_ownership_interest
glassdoor.csv,headerlocationType,us_perm_visas.csv,ji_foreign_worker_live_on_premises,glassdoor.csv#headerlocationType#us_perm_visas.csv#ji_foreign_worker_live_on_premises
glassdoor.csv,headerlocationType,us_perm_visas.csv,ji_fw_live_on_premises,glassdoor.csv#headerlocationType#us_perm_visas.csv#ji_fw_live_on_premises
glassdoor.csv,headerlocationType,us_perm_visas.csv,ji_live_in_domestic_service,glassdoor.csv#headerlocationType#us_perm_visas.csv#ji_live_in_domestic_service
